timestamp,datetime,brightness,noise_level,motion_level,emotion,valence,arousal,typing_speed,focus_level,productivity_score,wellbeing_score,mood_score,environment_score
1745481511.354002,2025-04-24 15:58:31.354006,0.0,0.0,0.0,neutral,0.0,0.0,0.0,0.5,0.35,0.3,0.0,0.4
1745481512.356272,2025-04-24 15:58:32.356281,0.0,0.0,0.0,neutral,-0.2,0.0,0.0,0.4968518793582916,0.3477963155508041,0.24,-0.2,0.4
1745481513.363107,2025-04-24 15:58:33.363113,0.0,0.0,0.0,neutral,-0.2,0.0,0.0,0.4968518793582916,0.3477963155508041,0.24,-0.2,0.4
1745481514.368186,2025-04-24 15:58:34.368192,0.0,0.0,0.0,neutral,-0.2,0.0,0.0,0.48669728577136995,0.3406881000399589,0.24,-0.2,0.4
1745481515.374194,2025-04-24 15:58:35.374195,0.6119610236672794,0.0,0.0,sad,-0.18,0.08,0.0,0.48669728577136995,0.3406881000399589,0.246,-0.18,0.8656467715992646
1745481516.381262,2025-04-24 15:58:36.381264,0.613577352685866,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.4714417101740837,0.33000919712185856,0.27,-0.1,0.8637071767769608
1745481517.386388,2025-04-24 15:58:37.386390,0.6201304030075572,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.45254573715329166,0.31678201600730416,0.27,-0.1,0.8558435163909314
1745481518.390354,2025-04-24 15:58:38.390357,0.6247622453278187,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.45254573715329166,0.31678201600730416,0.27,-0.1,0.8502853056066176
1745481519.396933,2025-04-24 15:58:39.396936,0.625567315793505,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.43106343075454234,0.3017444015281796,0.27,-0.1,0.849319221047794
1745481520.399208,2025-04-24 15:58:40.399210,0.6117184372446896,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.4078003204601407,0.28546022432209844,0.27,-0.1,0.8659378753063726
1745481521.405617,2025-04-24 15:58:41.405619,0.6113125478707108,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.4078003204601407,0.28546022432209844,0.27,-0.1,0.8664249425551471
1745481522.41113,2025-04-24 15:58:42.411134,0.6029459731158089,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.382642264536637,0.2678495851756459,0.27,-0.1,0.8764648322610293
1745481523.416939,2025-04-24 15:58:43.416942,0.5920173323886846,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.382642264536637,0.2678495851756459,0.27,-0.1,0.8895792011335785
1745481524.423768,2025-04-24 15:58:44.423771,0.5840145207822712,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.3563764098883992,0.24946348692187942,0.27,-0.1,0.8991825750612745
1745481525.428184,2025-04-24 15:58:45.428187,0.583021790747549,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.3563764098883992,0.24946348692187942,0.27,-0.1,0.9003738511029412
1745481526.433671,2025-04-24 15:58:46.433674,0.5867533477583742,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.329195781004521,0.2304370467031647,0.27,-0.1,0.895895982689951
1745481527.438108,2025-04-24 15:58:47.438111,0.5919747178819444,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.3016122857893158,0.21112860005252107,0.27,-0.1,0.8896303385416666
1745481528.444072,2025-04-24 15:58:48.444075,0.5860993189593546,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.3016122857893158,0.21112860005252107,0.27,-0.1,0.8966808172487745
1745481529.450663,2025-04-24 15:58:49.450666,0.5794066999846813,0.0,0.0,sad,-0.18,0.22999999999999998,0.0,0.2737909154211734,0.19165364079482136,0.246,-0.18,0.9047119600183824
1745481530.456743,2025-04-24 15:58:50.456746,0.5795249310661764,0.0,0.0,sad,-0.26,0.22000000000000003,0.0,0.2737909154211734,0.19165364079482136,0.222,-0.26,0.9045700827205883
1745481531.463538,2025-04-24 15:58:51.463541,0.5802458256740196,0.0,0.0,sad,-0.26,0.22000000000000003,0.0,0.24557650499350608,0.17190355349545425,0.222,-0.26,0.9037050091911765
1745481532.469786,2025-04-24 15:58:52.469789,0.5828989959916259,0.0,0.0,sad,-0.26,0.22000000000000003,0.0,0.24557650499350608,0.17190355349545425,0.222,-0.26,0.9005212048100489
1745481533.475645,2025-04-24 15:58:53.475647,0.5918350534875408,0.0,0.0,sad,-0.26,0.22000000000000003,0.0,0.21719702769284197,0.15203791938498937,0.222,-0.26,0.889797935814951
1745481534.479257,2025-04-24 15:58:54.479260,0.606613179125817,0.0,0.0,sad,-0.33999999999999997,0.20999999999999996,0.0,0.18893589935973606,0.13225512955181523,0.198,-0.33999999999999997,0.8720641850490196
1745481535.485329,2025-04-24 15:58:55.485338,0.6004049096200981,0.0,0.0,sad,-0.33999999999999997,0.20999999999999996,0.0,0.18893589935973606,0.13225512955181523,0.198,-0.33999999999999997,0.8795141084558823
1745481536.491994,2025-04-24 15:58:56.491996,0.5977552785437091,0.0,0.0,sad,-0.33999999999999997,0.20999999999999996,0.0,0.1609982094525568,0.11269874661678975,0.198,-0.33999999999999997,0.882693665747549
1745481537.496259,2025-04-24 15:58:57.496262,0.5985896746068219,0.0,0.0,sad,-0.26,0.22000000000000003,0.0,0.1609982094525568,0.11269874661678975,0.222,-0.26,0.8816923904718137
1745481538.501194,2025-04-24 15:58:58.501197,0.604989883323121,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.1331724962543935,0.09322074737807545,0.27,-0.1,0.8740121400122548
1745481539.509198,2025-04-24 15:58:59.509200,0.6100828961141748,0.0,0.0,sad,-0.1,0.24000000000000005,0.0,0.10546920624038014,0.07382844436826609,0.27,-0.1,0.8679005246629903
